dtm,o3_1
2023-07-10T10:05:00.000000,36.87
2023-07-10T10:10:00.000000,38.66
2023-07-10T10:15:00.000000,35.85
2023-07-10T10:20:00.000000,39.05
2023-07-10T10:25:00.000000,38.8
2023-07-10T10:30:00.000000,39.79
2023-07-10T10:35:00.000000,35.79
2023-07-10T10:40:00.000000,39.52
2023-07-10T10:45:00.000000,35.01
2023-07-10T10:50:00.000000,36.16
2023-07-10T10:55:00.000000,37.28
2023-07-10T11:00:00.000000,38.33
2023-07-10T11:05:00.000000,34.49
2023-07-10T11:10:00.000000,34.54
2023-07-10T11:15:00.000000,34.99
2023-07-10T11:20:00.000000,35.9
2023-07-10T11:25:00.000000,33.9
2023-07-10T11:30:00.000000,32.49
2023-07-10T11:35:00.000000,35.38
2023-07-10T11:40:00.000000,35.46
2023-07-10T11:45:00.000000,33.5
2023-07-10T11:50:00.000000,35.96
2023-07-10T11:55:00.000000,36.58
2023-07-10T12:00:00.000000,35.04
2023-07-10T12:05:00.000000,42.08
2023-07-10T12:10:00.000000,35.06
2023-07-10T12:15:00.000000,33.66
2023-07-10T12:20:00.000000,37.09
2023-07-10T12:25:00.000000,35.79
2023-07-10T12:30:00.000000,32.05
2023-07-10T12:35:00.000000,33.38
2023-07-10T12:40:00.000000,32.34
2023-07-10T12:45:00.000000,34.11
2023-07-10T12:50:00.000000,34.32
2023-07-10T12:55:00.000000,32.54
2023-07-10T13:00:00.000000,32.78
2023-07-10T13:05:00.000000,32.32
2023-07-10T13:10:00.000000,34.42
2023-07-10T13:15:00.000000,31.75
2023-07-10T13:20:00.000000,34.09
2023-07-10T13:25:00.000000,32.59
2023-07-10T13:30:00.000000,35.19
2023-07-10T13:35:00.000000,31.25
2023-07-10T13:40:00.000000,34.23
2023-07-10T13:45:00.000000,39.79
2023-07-10T13:50:00.000000,34.22
2023-07-10T13:55:00.000000,32.49
2023-07-10T14:00:00.000000,34.65
2023-07-10T14:05:00.000000,31.4
2023-07-10T14:10:00.000000,35.23
2023-07-10T14:15:00.000000,33.73
2023-07-10T14:20:00.000000,37.36
2023-07-10T14:25:00.000000,32.25
2023-07-10T14:30:00.000000,30.99
2023-07-10T14:35:00.000000,32.74
2023-07-10T14:40:00.000000,31.66
2023-07-10T14:45:00.000000,31.61
2023-07-10T14:50:00.000000,33.39
2023-07-10T14:55:00.000000,28.72
2023-07-10T15:00:00.000000,33.93
2023-07-10T15:05:00.000000,27.26
2023-07-10T15:10:00.000000,32.15
2023-07-10T15:15:00.000000,33.02
2023-07-10T15:20:00.000000,25.37
2023-07-10T15:25:00.000000,26.24
2023-07-10T15:30:00.000000,19.34
2023-07-10T15:35:00.000000,18.73
2023-07-10T15:40:00.000000,21.57
